Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Moped  n. Two-wheeled low-powered motor vehicle with pedals. [swedish: related to *motor, *pedal]
Nymph  n. 1 mythological semi-divine spirit regarded as a maiden and associated with an aspect of nature, esp. Rivers and woods. 2 poet. Beautiful young woman. 3 immature form of some insects. [greek numphe nymph, bride]
Drown  v. 1 kill or die by submersion in liquid. 2 submerge; flood; drench. 3 deaden (grief etc.) By drinking. 4 (often foll. By out) overpower (sound) with louder sound. [probably old english]
Imbue  v. (-bues, -bued, -buing) (often foll. By with) 1 inspire or permeate (with feelings, opinions, or qualities). 2 saturate. 3 dye. [latin imbuo]
Broth  n. Thin soup of meat or fish stock. [old english]
Choir  n. 1 regular group of singers, esp. In a church. 2 part of a cathedral or large church between the altar and nave. [latin: related to *chorus]
Deter  v. (-rr-) (often foll. By from) discourage or prevent, esp. Through fear.  determent n. [latin terreo frighten]
Brine  n. 1 water saturated or strongly impregnated with salt. 2 sea water. [old english]
Occur  v. (-rr-) 1 come into being as an event or process. 2 exist or be encountered in some place or conditions. 3 (foll. By to) come into the mind of. [latin occurro befall]
Blurt  v. (usu. Foll. By out) utter abruptly, thoughtlessly, or tactlessly. [imitative]
Liven  v. (often foll. By up) colloq. Make or become lively, cheer up.
Derby  n. (pl. -ies) 1 a annual flat horse-race at epsom. B similar race elsewhere. 2 important sporting contest. 3 (derby) us bowler hat. [earl of derby]
Eagle  n. 1 a large bird of prey with keen vision and powerful flight. B this as a symbol, esp. Of the us. 2 score of two strokes under par at any hole in golf. [latin aquila]
Habit  n. 1 settled or regular tendency or practice (often foll. By of + verbal noun: has a habit of ignoring me). 2 practice that is hard to give up. 3 mental constitution or attitude. 4 dress, esp. Of a religious order. [latin habeo habit- have]
Sauna  n. 1 period spent in a special room heated very hot, to clean the body. 2 such a room. [finnish]
Dildo  n. (pl. -s) artificial erect penis for sexual stimulation. [origin unknown]
Exist  v. 1 have a place in objective reality. 2 (of circumstances etc.) Occur; be found. 3 live with no pleasure. 4 continue in being. 5 live. [latin existo]
Frond  n. Leaflike part of a fern or palm. [latin frons frond- leaf]
Femur  n. (pl. -s or femora) thigh-bone.  femoral adj. [latin]
Sadhu  n. (in india) holy man, sage, or ascetic. [sanskrit]
Movie  n. Esp. Us colloq. Cinema film.
Nacre  n. Mother-of-pearl from any shelled mollusc.  nacreous adj. [french]
Boron  n. Non-metallic usu. Crystalline element. [from *borax, after carbon]
Goose  n. (pl. Geese) 1 a large water-bird with webbed feet and a broad bill. B female of this (opp. *gander 1). C flesh of a goose as food. 2 colloq. Simpleton. [old english]
Flier  var. Of *flyer.
Haiku  n. (pl. Same) japanese three-part poem of usu. 17 syllables. [japanese]
Sewer  n. Conduit, usu. Underground, for carrying off drainage water and sewage. [anglo-french sever(e): related to *ex-1, aqua water]
Gauss  n. (pl. Same) unit of magnetic flux density. [gauss, name of a mathematician]
Cooee  n. & int. Colloq. Call used to attract attention. [imitative]
Aroma  n. 1 esp. Pleasing smell, often of food. 2 subtle pervasive quality. [greek, = spice]
Acorn  n. Fruit of the oak, with a smooth nut in a cuplike base. [old english]
Jingo  n. (pl. -es) supporter of war; blustering patriot.  by jingo! Mild oath.  jingoism n. Jingoist n. Jingoistic adj. [conjuror's word]
Decry  v. (-ies, -ied) disparage, belittle.
Combo  n. (pl. -s) slang small jazz or dance band. [abbreviation of *combination]
Error  n. 1 mistake. 2 condition of being morally wrong (led into error).  3 degree of inaccuracy in a calculation etc. (2% error). [latin: related to *err]
Abase  v. (-sing) (also refl.) Humiliate, degrade.  abasement n. [french: related to *ad-, *base2]
Jehad  var. Of *jihad.
Flesh  n. 1 a soft, esp. Muscular, substance between the skin and bones of an animal or a human. B plumpness; fat. 2 the body, esp. As sinful. 3 pulpy substance of a fruit etc. 4 a visible surface of the human body. B (also flesh-colour) yellowish pink colour. 5 animal or human life.  all flesh all animate creation. Flesh out make or become substantial. In the flesh in person. One's own flesh and blood near relatives. [old english]
Ought  v.aux. (as present and past, the only form now in use) 1 expressing duty or rightness (we ought to be thankful; it ought to have been done long ago). 2 advisability (you ought to see a dentist). 3 probability (it ought to rain soon).  ought not negative form of ought (he ought not to have stolen it). [old english, past of *owe]
Guest  n. 1 person invited to visit another's house or to have a meal etc. At another's expense. 2 person lodging at a hotel etc. 3 outside performer invited to take part with a regular body of performers. [old norse]
Heart  n. 1 hollow muscular organ maintaining the circulation of blood by rhythmic contraction and dilation. 2 region of the heart; the breast. 3 a centre of thought, feeling, and emotion (esp. Love). B capacity for feeling emotion (has no heart). 4 a courage or enthusiasm (take heart). B mood or feeling (change of heart). 5 a central or innermost part of something. B essence (heart of the matter). 6 compact tender inner part of a lettuce etc. 7 a heart-shaped thing. B conventional representation of a heart with two equal curves meeting at a point at the bottom and a cusp at the top. 8 a playing-card of the suit denoted by a red figure of a heart. B (in pl.) This suit.  at heart 1 in one's inmost feelings. 2 basically. Break a person's heart overwhelm a person with sorrow. By heart from memory. Give (or lose) one's heart (often foll. By to) fall in love (with). Have the heart (usu. With neg.; foll. By to + infin.) Be insensitive or hard-hearted enough (didn't have the heart to ask him). Take to heart be much affected by. To one's heart's content see *content1. With all one's heart sincerely; with all goodwill. [old english]
Crêpe  n. 1 fine gauzy wrinkled fabric. 2 thin pancake with a savoury or sweet filling. 3 hard-wearing wrinkled sheet rubber used for the soles of shoes etc.  crêpey adj. Crêpy adj. [latin: related to *crisp]
March  n. Third month of the year. [latin martius of mars]
Paddy  n. (pl. -ies) colloq. Often offens. Irishman. [irish padraig patrick]
Token  n. 1 thing serving as a symbol, reminder, or mark (as a token of affection; in token of my esteem). 2 voucher. 3 thing equivalent to something else, esp. Money. 4 (attrib.) A perfunctory (token effort). B conducted briefly to demonstrate strength of feeling (token strike). C chosen by tokenism to represent a group (token woman).
Polio  n. = *poliomyelitis. [abbreviation]
Heron  n. Long-legged wading bird with a long s-shaped neck. [french from germanic]
Snook  n. Slang contemptuous gesture with the thumb to the nose and the fingers spread.  cock a snook (often foll. By at) 1 make this gesture. 2 register one's contempt. [origin unknown]
Grits  n.pl. 1 coarsely ground grain, esp. Oatmeal. 2 oats that have been husked but not ground. [old english]
Helix  n. (pl. Helices) spiral curve (like a corkscrew) or coiled curve (like a watch spring). [latin from greek]
Sigma  n. Eighteenth letter of the greek alphabet (s, s, or, when final, v). [latin from greek]
Melee  n. (brit. Mêlée) 1 confused fight, skirmish, or scuffle. 2 muddle. [french: related to *medley]
Digit  n. 1 any numeral from 0 to 9. 2 finger or toe. [latin, = finger, toe]
Rupee  n. Chief monetary unit of india, pakistan, etc. [hindustani]
Umbel  n. Flower-cluster with stalks springing from a common centre and forming a flat or curved surface.  umbellate adj. [latin umbella sunshade]
Amass  v. Heap together; accumulate. [french: related to *ad-, *mass1]
Peony  n. (also paeony) (pl. -ies) plant with large globular red, pink, or white flowers. [greek paionia]
Embed  v. (also imbed) (-dd-) (esp. As embedded adj.) Fix firmly in a surrounding mass.
Sever  v. Divide, break, or make separate, esp. By cutting (severed artery). [anglo-french severer from latin separo]
Month  n. 1 (in full calendar month) a each of twelve periods into which a year is divided. B period of time between the same dates in successive calendar months. 2 period of 28 days. [old english]
Lapel  n. Part of either side of a coat-front etc., folded back against itself. [from *lap1]
Amend  v. 1 make minor alterations in to improve. 2 correct an error in (a document etc.). [latin: related to *emend]
Chimp  n. Colloq. = *chimpanzee. [abbreviation]
Squid  n. (pl. Same or -s) ten-armed marine cephalopod used as food. [origin unknown]
Enemy  n. (pl. -ies) 1 person actively hostile to another. 2 a (often attrib.) Hostile nation or army. B member of this. 3 adversary or opponent (enemy of progress). [latin: related to *in-2, amicus friend]
Urine  n. Waste fluid secreted by the kidneys and discharged from the bladder. [latin urina]
Airer  n. Stand for airing or drying clothes etc.
Aphid  n. Small insect infesting and damaging plants, e.g. The greenfly.
Harem  n. 1 women of a muslim household. 2 their quarters. [arabic, = sanctuary]
Farad  n. Si unit of capacitance. [faraday, name of a physicist]
Jehad  var. Of *jihad.
Elude  v. (-ding) 1 escape adroitly from (danger, pursuit, etc.). 2 avoid compliance with (a law etc.) Or fulfilment of (an obligation). 3 baffle (a person or memory etc.).  elusion n. [latin ludo play]
Swede  n. 1 a native or national of sweden. B person of swedish descent. 2 (swede) large yellow-fleshed turnip orig. From sweden. [low german or dutch]
Flyer  n. (also flier) colloq. 1 airman or airwoman. 2 thing that flies in a specified way (poor flyer). 3 fast-moving animal or vehicle. 4 ambitious or outstanding person. 5 small handbill.
Stool  n. 1 single seat without a back or arms. 2 = *footstool. 3 (usu. In pl.) = *faeces. [old english]
Pygmy  n. (also pigmy) (pl. -ies) (often attrib.) 1 member of a dwarf people of esp. Equatorial africa. 2 very small person, animal, or thing. 3 insignificant person. [latin from greek]
Guild  n. (also gild) 1 association of people for mutual aid or the pursuit of a common goal. 2 medieval association of craftsmen or merchants. [low german or dutch gilde]
Addle  v. (-ling) 1 muddle, confuse. 2 (usu. As addled adj.) (of an egg) become rotten. [old english, = filth]
Broil  v. Esp. Us 1 grill (meat). 2 make or become very hot, esp. From the sun. [french bruler burn]
Harpy  n. (pl. -ies) 1 mythological monster with a woman's head and body and a bird's wings and claws. 2 grasping unscrupulous person. [greek harpuiai snatchers]
Maser  n. Device used to amplify or generate coherent electromagnetic radiation in the microwave range. [microwave amplification by stimulated emission of radiation]
Snack  n. 1 light, casual, or hurried meal. 2 small amount of food eaten between meals. [dutch]
Alibi  n. (pl. -s) 1 claim or proof that one was elsewhere when a crime etc. Was committed. 2 informal excuse. [latin, = elsewhere]
Melon  n. 1 sweet fleshy fruit of various climbing plants of the gourd family. 2 such a gourd. [greek melon apple]
Wrick  var. Of *rick2.
Satan  n. The devil; lucifer. [hebrew, = enemy]
Sitar  n. Long-necked indian lute. [hindi]
Quash  v. 1 annul; reject as invalid, esp. By a legal procedure. 2 suppress, crush. [french quasser from latin]
Myrrh  n. Gum resin used in perfume, medicine, incense, etc. [latin myrrha from greek]
Vigil  n. 1 keeping awake during the night etc., esp. To keep watch or pray. 2 eve of a festival or holy day. [latin vigilia]
Elate  v. (-ting) (esp. As elated adj.) Make delighted or proud.  elatedly adv. Elation n. [latin effero elat- raise]
Witch  n. 1 sorceress, woman supposed to have dealings with the devil or evil spirits. 2 old hag. 3 fascinating girl or woman. [old english]
Scene  n. 1 place in which events, real or fictional, occur. 2 a incident, real or fictional. B description of this. 3 public display of emotion, temper, etc. (made a scene in the restaurant). 4 a continuous portion of a play in a fixed setting; subdivision of an act. B similar section of a film, book, etc. 5 a piece of scenery used in a play. B these collectively. 6 landscape or view. 7 colloq. A area of interest (not my scene). B milieu (well-known on the jazz scene).  behind the scenes 1 offstage. 2 secret; secretly. Set the scene describe the location of events. [greek skene tent, stage]
